id;vehicle_id;latitude;longitude;theta;speed;battery;doors;last_seen;created_at
181303;EZ10_G2-005;52.482167382;13.3572230846;-0.6587256193;0;74;f;2018-03-02 10:24:23+01;2018-03-02 09:24:23.898935
181305;EZ10_G2-005;52.4821673932;13.3572231008;-0.6589868069;0;74;f;2018-03-02 10:24:24+01;2018-03-02 09:24:24.77081
181306;EZ10_G2-005;52.4821673986;13.3572231087;-0.6593492627;0;74;f;2018-03-02 10:24:25+01;2018-03-02 09:24:25.230294
181307;EZ10_G2-005;52.4821674059;13.3572231139;-0.6589198709;0;74;f;2018-03-02 10:24:25+01;2018-03-02 09:24:25.731017
181310;EZ10_G2-005;52.4821674095;13.3572231108;-0.6589742303;0;74;f;2018-03-02 10:24:27+01;2018-03-02 09:24:27.240226
181316;EZ10_G2-005;52.4821673791;13.3572230829;-0.6589782238;0;74;f;2018-03-02 10:24:30+01;2018-03-02 09:24:30.231211
181320;EZ10_G2-005;52.482167355;13.3572230566;-0.6590021849;0;74;f;2018-03-02 10:24:32+01;2018-03-02 09:24:32.225883
181321;EZ10_G2-005;52.4821673508;13.3572230586;-0.6592257619;0;74;f;2018-03-02 10:24:32+01;2018-03-02 09:24:32.738678
181324;EZ10_G2-005;52.4821673346;13.357223047;-0.6589416265;0;74;f;2018-03-02 10:24:34+01;2018-03-02 09:24:34.290018
181328;EZ10_G2-005;52.4821673331;13.3572230315;-0.6589200497;0;74;f;2018-03-02 10:24:36+01;2018-03-02 09:24:36.290595
181329;EZ10_G2-005;52.4821673335;13.3572230311;-0.6591622829;0;74;f;2018-03-02 10:24:36+01;2018-03-02 09:24:36.7312
181332;EZ10_G2-005;52.4821673295;13.3572230305;-0.6592268944;0;74;f;2018-03-02 10:24:38+01;2018-03-02 09:24:38.291084
181333;EZ10_G2-005;52.4821673288;13.3572230335;-0.6592823267;0;74;f;2018-03-02 10:24:38+01;2018-03-02 09:24:38.724273
181334;EZ10_G2-005;52.4821673313;13.3572230382;-0.659342289;0;74;f;2018-03-02 10:24:39+01;2018-03-02 09:24:39.33976
181335;EZ10_G2-005;52.4821673294;13.3572230367;-0.6592499018;0;74;f;2018-03-02 10:24:39+01;2018-03-02 09:24:39.731177
181336;EZ10_G2-005;52.4821673322;13.3572230357;-0.6591564417;0;74;f;2018-03-02 10:24:40+01;2018-03-02 09:24:40.273367
181345;EZ10_G2-005;52.4821673235;13.3572230221;-0.6590636373;0;74;f;2018-03-02 10:24:44+01;2018-03-02 09:24:44.739009
181304;EZ10_G2-005;52.4821673857;13.3572230884;-0.6587830186;0;74;f;2018-03-02 10:24:24+01;2018-03-02 09:24:24.28775
181308;EZ10_G2-005;52.4821674109;13.357223119;-0.6589227915;0;74;f;2018-03-02 10:24:26+01;2018-03-02 09:24:26.290078
181309;EZ10_G2-005;52.4821674129;13.3572231189;-0.6591963172;0;74;f;2018-03-02 10:24:26+01;2018-03-02 09:24:26.730343
181311;EZ10_G2-005;52.4821674064;13.3572231025;-0.6588782668;0;74;f;2018-03-02 10:24:27+01;2018-03-02 09:24:27.738226
